iteration,objective_value
1,1.1281591419156323
2,1.1282137198612978
3,1.2994323411446445
4,1.083104162670382
5,1.210220146463624
6,1.0371436902604987
7,1.0631712459052487
8,1.0021444575602056
9,0.9943348070180665
10,0.9950069406096036
11,1.0064201150199377
12,1.0079128960231567
13,1.002954203971838
14,1.0032381856376447
15,0.9933772212961904
16,0.9913575562839825
17,0.9930575721993011
18,1.0130401117570322
19,0.9913655356601695
20,1.008330499672114
21,0.9867669278803378
22,1.0245150096952813
23,1.039157144267662
24,1.0033896639572057
25,0.9985860547457122
26,0.9953844133061364
27,0.9844363630779956
28,0.9904200355995343
29,1.022016838077078
30,0.990738561087718
31,0.9905801756589052
32,0.9843936727745165
33,0.9939459835149471
34,0.9851185012284844
35,0.9878522517717462
36,0.9851825165939185
37,0.9891918006612459
38,0.984905653401786
39,0.9910310041178276
40,0.9994279190787089
41,0.9827183926501583
42,0.9903014774325009
43,0.9854570549748717
44,0.9877196881761721
45,0.9846765906818684
46,0.9933630054824637
47,0.9838794043235416
48,0.9854928903396585
49,0.9856675704420178
50,0.9821379831481702
51,0.9843455989120802
52,0.9862483457676655
53,0.9840386562018794
54,0.9837851535605545
55,0.9911380885325722
56,0.9851814106840522
57,0.9838674863834783
58,0.9830968754817979
59,0.9818156568380545
60,0.9814400999710715
61,0.9830882035166306
62,0.9841013124675779
63,0.9819658042889189
64,0.9822350574943165
65,0.9808821443074734
66,0.9816210897784963
67,0.9838675907054407
68,0.9858214925484928
69,0.9856992394427636
70,0.9826647114307427
71,0.9809215378724984
72,0.9805052737726893
73,0.9819932300403914
74,0.982194598387487
75,0.9831348704566798
76,0.9832127806533595
77,0.981846203890395
78,0.9832801430903793
79,0.9821135085946847
80,0.9827796564698302
81,0.9848261670699473
82,0.9812183747413867
83,0.9839434470994699
84,0.9833016870908796
85,0.9812285693893565
86,0.9818755381080203
87,0.9821224237132927
88,0.9823179709149236
89,0.9826941703595324
90,0.9862622476929823
91,0.9824738282136695
92,0.9846818389262614
93,0.9842996336430185
94,0.9821522565817663
95,0.9806914301459292
96,0.9823529879355278
97,0.9833971718081752
98,0.9824290309831726
99,0.9797856862529065
100,0.9807014174538871
101,0.9835316841350172
102,0.9810042784493961
103,0.981405960070984
104,0.9824835345363582
105,0.9856481582525224
106,0.9835540512599109
107,0.9819986370244718
108,0.9829170859435735
109,0.9809742225168443
110,0.9806298772019848
111,0.9820404017499406
112,0.9842515618817115
113,0.9816487924124988
114,0.9827556057466593
115,0.9810269774847573
116,0.9812786150770857
117,0.9830087491390614
118,0.9820093719229336
119,0.9833385649675391
120,0.982628087988128
121,0.9827093376664278
122,0.984101866315472
123,0.9820625782122527
124,0.9837642632299102
125,0.9842098847339182
126,0.9834582620651854
127,0.9832227255927933
128,0.9824010732690697
129,0.9845974666201927
130,0.9798531493789906
131,0.9823564419838965
132,0.9836926748624406
133,0.9825600742659978
134,0.9821271241769493
135,0.9809920626252544
136,0.983896705662389
137,0.9833959516931623
138,0.9815925993353916
139,0.9834539912899428
140,0.9836481089578398
141,0.9822659635048527
142,0.9821066561148103
143,0.9841687127501647
144,0.9848278800172322
145,0.9834863499295496
146,0.9813995222799516
147,0.9827157954736173
148,0.9818154819879369
149,0.9816555222433461
150,0.9822687111219013
151,0.9803888108837611
152,0.9820115672511849
153,0.9841059292117332
154,0.9833588887094706
155,0.9840649554110674
156,0.9840824290120156
157,0.9824114699059641
158,0.9850658540548058
159,0.9817943695969653
160,0.9824994565722527
161,0.9842266724582471
162,0.9829539658474921
163,0.9837240202988491
164,0.9829014702922236
